property_name,location,price
"Benton Harbor, Michigan",Round Lake,"$514 
night"
"Pleasant Prairie, Wisconsin",Lake Michigan,"$366 
night"
"New Buffalo, Michigan",Lake Michigan,"$2,486 
night"
"Fox Lake, Illinois",Nippersink Lake,"$199 
night"
"Salem, Wisconsin",Hooker Lake,"$880 
night"
"Grand Junction, Michigan",Great Bear Lake,"$900 
night"
"Gary, Indiana",Lake Michigan,"$135 
night"
"New Buffalo, Michigan",Lake Michigan,"$500 
night"
"Berrien Springs, Michigan",Lake Chapin,"$399 
night"
"Michiana, Michigan",Lake Michigan,"$249 
night"
"Fox Lake, Illinois",Fox Lake,"$378 
night"
"Benton Harbor, Michigan",Lake Michigan,"$405 
night"
"Fox Lake, Illinois",Fox Lake,"$270 
night"
"Bristol, Wisconsin",Lake Shangrila,"$479 
night"
"Bristol, Wisconsin",Lake Shangrila,"$304 
night"
"Miller Beach, Indiana",Lake Michigan,"$948 
night"
"Antioch, Illinois",Silver Lake,"$194 
night"
"Bristol, Wisconsin",Lake Shangrila,"$434 
night"
"Dowagiac, Michigan",Twin Lakes,"$575 
night"
"South Haven, Michigan",Lake Michigan,"$603 
night"
